cat order,subcat order,category,subcategory,emoji,georgian,audio,english,russian
4,4,Food,Pantry,🍝,მაკარონი,,pasta,макароны
4,4,Food,Pantry,🥐,ცომეული,,pastry,выпечка
4,4,Food,Pantry,🥜,არაქისი,,peanut,арахис
4,4,Food,Pantry,🍿,პოპკორნი,,popcorn,попкорн
4,4,Food,Pantry,🍚,ბრინჯი,,rice,рис
4,4,Food,Pantry,🧂,მარილი,,salt,соль
4,4,Food,Pantry,🍬,შაქარი,,sugar,сахар
4,4,Food,Pantry,🍭,ტკბილეული,,sweets / candy,конфеты
4,5,Food,Dishes,😋,გემრიელად მიირთვით,,bon appétit,приятного аппетита
4,5,Food,Dishes,🎂,ტორტი,,cake,торт
4,5,Food,Dishes,🍩,დონატი,,donut,пончик
4,5,Food,Dishes,🍟,კარტოფილი ფრი,,french fries,картофель фри
4,5,Food,Dishes,🍔,ჰამბურგერი,,hamburger,гамбургер
4,5,Food,Dishes,🍦,ნაყინი,,ice cream,мороженое
4,5,Food,Dishes,🥖🧀,ხაჭაპური,,khachapuri,хачапури
4,5,Food,Dishes,🥟,ხინკალი,,khinkali,хинкали
4,5,Food,Dishes,🥖🫘,ლობიანი,,lobiani,лобиани
4,5,Food,Dishes,🥞,ბლინები,,pancakes,блины
4,5,Food,Dishes,🥧,ღვეზელი,,pie,пирог
4,5,Food,Dishes,🍕,პიცა,,pizza,пицца
4,5,Food,Dishes,🥗,სალათი,,salad,салат
4,5,Food,Dishes,🧂,მარილიანი,,salty,соленый
4,5,Food,Dishes,🥪,სენდვიჩი,,sandwich,сэндвич
4,5,Food,Dishes,🍲,სუპი / წვნიანი,,soup,суп
4,5,Food,Dishes,🍋,მჟავე,,sour,кислый
4,5,Food,Dishes,🍝,სპაგეტი,,spaghetti,спагетти
4,5,Food,Dishes,🌶️,ცხარე,,spicy,острый
4,5,Food,Dishes,🍣,სუში,,sushi,суши
4,5,Food,Dishes,🍭,ტკბილი,,sweet,сладкий
4,5,Food,Dishes,🌮,ტაკო,,taco,тако
4,6,Food,Drinks,🍺,ლუდი,,beer,пиво
4,6,Food,Drinks,☕,ყავა,,coffee,кофе
4,6,Food,Drinks,🧃,წვენი,,juice,сок
4,6,Food,Drinks,🍋,ნატურალური ლიმონათი,,lemonade,домашний лимонад
4,6,Food,Drinks,🥛,რძე,,milk,молоко
4,6,Food,Drinks,🫧💧,მინერალური წყალი,,mineral water,минералка
4,6,Food,Drinks,🥤,ლიმონათი,,soda,газировка
4,6,Food,Drinks,🍵,ჩაი,,tea,чай
4,6,Food,Drinks,🥃,არაყი / ჭაჭა,,vodka / chacha,водка / чача
4,6,Food,Drinks,💧,წყალი,,water,вода
4,6,Food,Drinks,🍷,ღვინო,,wine,вино
5,1,World,City,✈️,აეროპორტი,,airport,аэропорт
5,1,World,City,🏘️,ბინა,,apartment,квартира
5,1,World,City,🏧,ბანკომატი,,atm,банкомат
5,1,World,City,🛍️,ჩანთა,,bag,сумка
5,1,World,City,🏦,ბანკი,,bank,банк
5,1,World,City,🌉,ხიდი,,bridge,мост
5,1,World,City,⛪,ეკლესია,,church,церковь
5,1,World,City,🎬,კინოთეატრი,,cinema,кинотеатр
5,1,World,City,🏭,ქარხანა,,factory,фабрика
5,1,World,City,⛽,ავტოგასამართი,,gas station,заправка
5,1,World,City,🏋️,ტრენაჟორები,,gym,фитнес-клуб
5,1,World,City,🏥,საავადმყოფო,,hospital,больница
5,1,World,City,🏨,სასტუმრო,,hotel,гостиница
5,1,World,City,🏠,სახლი,,house / home,дом / жилище
5,1,World,City,📚,ბიბლიოთეკა,,library,библиотека
5,1,World,City,🏢,ოფისი,,office,офис
5,1,World,City,🌳,პარკი,,park,парк
5,1,World,City,💊,აფთიაქი,,pharmacy,аптека
5,1,World,City,🚔,პოლიციის განყოფილება,,police station,полицейский участок
5,1,World,City,✉️,ფოსტა,,post office,почта
5,1,World,City,🍴,რესტორანი,,restaurant,ресторан
5,1,World,City,🏫,სკოლა,,school,школа
5,1,World,City,🛒,მაღაზია,,store,магазин
5,1,World,City,🎓,უნივერსიტეტი,,university,университет
5,2,World,Transport,✈️,თვითმფრინავი,,airplane,самолет
5,2,World,Transport,🚑,სასწრაფო,,ambulance,скорая помощь
5,2,World,Transport,🚲,ველოსიპედი,,bicycle,велосипед
5,2,World,Transport,🚤,ნავი,,boat,лодка
5,2,World,Transport,🚌,ავტობუსი,,bus,автобус
5,2,World,Transport,🚏,ავტობუსის გაჩერება,,bus stop,автобусная остановка
5,2,World,Transport,🚗,მანქანა,,car,машина
5,2,World,Transport,🚁,ვერტმფრენი,,helicopter,вертолет
5,2,World,Transport,🗺️,რუკა,,map,карта
5,2,World,Transport,🛵,მოპედი,,moped,мопед
5,2,World,Transport,🏍️,მოტოციკლი,,motorcycle,мотоцикл
5,2,World,Transport,🚓,პოლიციის მანქანა,,police car,полицейская машина
5,2,World,Transport,🛣️,გზა,,road,дорога
5,2,World,Transport,🛴,სკუტერი,,scooter,самокат
5,2,World,Transport,🚢,გემი,,ship,корабль
5,2,World,Transport,🚇,მეტრო,,subway,метро
5,2,World,Transport,🚕,ტაქსი,,taxi,такси
5,2,World,Transport,🎫,ბილეთი,,ticket,билет
5,2,World,Transport,🚜,ტრაქტორი,,tractor,трактор
5,2,World,Transport,🚆,მატარებელი,,train,поезд
5,2,World,Transport,🚚,სატვირთო,,truck,грузовик
5,3,World,Directions,⬆️,ზემოთ,,above / up,сверху / вверх
5,3,World,Directions,🚗🚶,უკან,,behind,сзади
5,3,World,Directions,🏘️,გვერდით,,beside / next to,рядом
5,3,World,Directions,🔭,შორს,,far,далеко
5,3,World,Directions,📍,აქ,,here,здесь
5,3,World,Directions,🚶🚗,წინ,,in front,спереди
5,3,World,Directions,📥,შიგნით,,inside,внутри
5,3,World,Directions,⬅️,მარცხნივ,,left,налево
5,3,World,Directions,🔍,ახლოს,,near / close,близко
5,3,World,Directions,📤,გარეთ,,outside,снаружи
5,3,World,Directions,➡️,მარჯვნივ,,right,направо
5,3,World,Directions,🛣️,პირდაპირ,,straight,прямо
5,3,World,Directions,👉,იქ,,there,там
5,3,World,Directions,⬇️,ქვეშ / ქვემოთ,,under / down,под / вниз
5,4,World,Nature,🏖️,პლაჟი,,beach,пляж
5,4,World,Nature,🕳️,გამოქვაბული,,cave,пещера
5,4,World,Nature,🏜️,უდაბნო,,desert,пустыня
5,4,World,Nature,🌎,დედამიწა,,earth,земля
5,4,World,Nature,🌾,მინდორი,,field,поле
5,4,World,Nature,🔥,ცეცხლი,,fire,огонь
5,4,World,Nature,🌸,ყვავილი,,flower,цветок
5,4,World,Nature,🌲,ტყე,,forest,лес
5,4,World,Nature,🏡,ბაღი,,garden,сад
5,4,World,Nature,🌱,ბალახი,,grass,трава
5,4,World,Nature,🏝️,კუნძული,,island,остров
5,4,World,Nature,🚣‍♂️,ტბა,,lake,озеро
5,4,World,Nature,🍁,ფოთოლი,,leaf,лист
5,4,World,Nature,🌙,მთვარე,,moon,луна
5,4,World,Nature,🏔️,მთა,,mountain,гора
5,4,World,Nature,🪴,მცენარე,,plant,растение
5,4,World,Nature,🌈,ცისარტყელა,,rainbow,радуга
5,4,World,Nature,🏞️,მდინარე,,river,река
5,4,World,Nature,🪨,ქვა,,rock,камень
5,4,World,Nature,🌊,ზღვა,,sea,море
5,4,World,Nature,✨,ვარსკვლავები,,stars,звезды
5,4,World,Nature,☀️,მზე,,sun,солнце
5,4,World,Nature,🌳,ხე,,tree,дерево
5,4,World,Nature,💧,წყალი,,water,вода
5,5,World,Animals,🐜,ჭიანჭველა,,ant,муравей
5,5,World,Animals,🐻,დათვი,,bear,медведь
5,5,World,Animals,🐝,ფუტკარი,,bee,пчела
5,5,World,Animals,🐦,ჩიტი,,bird,птица
5,5,World,Animals,🦋,პეპელა,,butterfly,бабочка
5,5,World,Animals,🐱,კატა,,cat,кот / кошка
5,5,World,Animals,🐔,ქათამი,,chicken,курица
5,5,World,Animals,🐮,ძროხა,,cow,корова
5,5,World,Animals,🐶,ძაღლი,,dog,собака
5,5,World,Animals,🐬,დელფინი,,dolphin,дельфин
5,5,World,Animals,🦆,იხვი,,duck,утка
5,5,World,Animals,🦅,არწივი,,eagle,орёл
5,5,World,Animals,🐘,სპილო,,elephant,слон
5,5,World,Animals,🐟,თევზი,,fish,рыба
5,5,World,Animals,🦊,მელა,,fox,лиса
5,5,World,Animals,🐸,ბაყაყი,,frog,лягушка
5,5,World,Animals,🐐,თხა,,goat,коза
5,5,World,Animals,🐴,ცხენი,,horse,лошадь
5,5,World,Animals,🦁,ლომი,,lion,лев
5,5,World,Animals,🐵,მაიმუნი,,monkey,обезьяна
5,5,World,Animals,🦟,კოღო,,mosquito,комар
5,5,World,Animals,🐭,თაგვი,,mouse,мышь
5,5,World,Animals,🦉,ბუ,,owl,сова
5,5,World,Animals,🐧,პინგვინი,,penguin,пингвин
5,5,World,Animals,🐷,ღორი,,pig,свинья
5,5,World,Animals,🐰,კურდღელი,,rabbit,кролик
5,5,World,Animals,🦈,ზვიგენი,,shark,акула
5,5,World,Animals,🐑,ცხვარი,,sheep,овца
5,5,World,Animals,🦐,კრევეტი,,shrimp,креветка
5,5,World,Animals,🐌,ლოკოკინა,,snail,улитка
5,5,World,Animals,🐍,გველი,,snake,змея
5,5,World,Animals,🕷️,ობობა,,spider,паук
5,5,World,Animals,🐯,ვეფხვი,,tiger,тигр
5,5,World,Animals,🐢,კუ,,turtle,черепаха
5,5,World,Animals,🐋,ვეშაპი,,whale,кит
5,5,World,Animals,🐺,მგელი,,wolf,волк
5,6,World,Weather,☁️,მოღრუბლული,,cloudy,облачно
5,6,World,Weather,🥶,ცივი,,cold,холодный
5,6,World,Weather,🌫️,ნისლიანი,,foggy,туманный
5,6,World,Weather,🥵,ცხელა,,hot,жарко
5,6,World,Weather,🧊,ყინულოვანი,,icy,ледяной
5,6,World,Weather,🌧️,წვიმიანი,,rainy,дождливый
5,6,World,Weather,🌌,ცა,,sky,небо
5,6,World,Weather,🌨️,თოვლიანი,,snowy,снежный
5,6,World,Weather,⛈️,ჭექა-ქუხილი,,stormy,гроза
5,6,World,Weather,☀️,მზიანი,,sunny,солнечно
5,6,World,Weather,🌦️,ამინდი,,weather,погода
5,6,World,Weather,🌬️,ქარიანი,,windy,ветрено
6,1,Attributes,Descriptors,👎,ცუდი,,bad,плохой
6,1,Attributes,Descriptors,🌺,ლამაზი,,beautiful,красивый
6,1,Attributes,Descriptors,🐘,დიდი,,big,большой
6,1,Attributes,Descriptors,💔,გატეხილი,,broken,сломанный
6,1,Attributes,Descriptors,🏷️,იაფი,,cheap,дешевый
6,1,Attributes,Descriptors,🧼,სუფთა,,clean,чистый
6,1,Attributes,Descriptors,🔒,დახურული,,closed,закрыто
6,1,Attributes,Descriptors,❄️,ცივი,,cold,холодный
6,1,Attributes,Descriptors,🧩,რთული,,difficult,трудный
6,1,Attributes,Descriptors,💩,ჭუჭყიანი,,dirty,грязный
6,1,Attributes,Descriptors,🏜️,მშრალი,,dry,сухой
6,1,Attributes,Descriptors,🫙,ცარიელი,,empty,пустой
6,1,Attributes,Descriptors,💎,ძვირი,,expensive,дорогой
6,1,Attributes,Descriptors,🏎️,სწრაფი,,fast,быстрый
6,1,Attributes,Descriptors,🍺,სავსე,,full,полный
6,1,Attributes,Descriptors,👍,კარგი,,good,хороший
6,1,Attributes,Descriptors,🌗,ნახევარი,,half,половина
6,1,Attributes,Descriptors,🧱,მაგარი,,hard,твёрдый
6,1,Attributes,Descriptors,🏋️,მძიმე,,heavy,тяжелый
6,1,Attributes,Descriptors,🔥,ცხელი,,hot,горячий
6,1,Attributes,Descriptors,❗,მნიშვნელოვანი,,important,важный
6,1,Attributes,Descriptors,🪶,მსუბუქი,,light,лёгкий
6,1,Attributes,Descriptors,✨,ახალი,,new,новый
6,1,Attributes,Descriptors,🏚️,ძველი,,old,старый
6,1,Attributes,Descriptors,🔓,ღია,,open,открытый
6,1,Attributes,Descriptors,🌱,დაბალი,,short (height),низкий
6,1,Attributes,Descriptors,🤏,მოკლე,,short (length),короткий
6,1,Attributes,Descriptors,✅,მარტივი,,simple,простой
6,1,Attributes,Descriptors,🐢,ნელი,,slow,медленный
6,1,Attributes,Descriptors,🐭,პატარა,,small,маленький
6,1,Attributes,Descriptors,🧊,გლუვი,,smooth,гладкий
6,1,Attributes,Descriptors,☁️,რბილი,,soft,мягкий
6,1,Attributes,Descriptors,🦒,მაღალი,,tall,высокий
6,1,Attributes,Descriptors,💦,სველი,,wet,мокрый
6,2,Attributes,Frequency,🌕,ყოველთვის,,always,всегда
6,2,Attributes,Frequency,🎆,ყოველწლიურად,,annually,ежегодно
6,2,Attributes,Frequency,☀️,ყოველდღიურად,,daily,ежедневно
6,2,Attributes,Frequency,🌙,ყოველთვიურად,,monthly,ежемесячно
6,2,Attributes,Frequency,🌑,არასდროს,,never,никогда
6,2,Attributes,Frequency,🌔,ხშირად,,often,часто
6,2,Attributes,Frequency,1️⃣,ერთხელ,,once,один раз
6,2,Attributes,Frequency,🌒,იშვიათად,,rarely,редко
6,2,Attributes,Frequency,🌓,ხანდახან,,sometimes,иногда
6,2,Attributes,Frequency,3️⃣,სამჯერ,,three times,три раза
6,2,Attributes,Frequency,2️⃣,ორჯერ,,two times,два раза
6,2,Attributes,Frequency,7️⃣,ყოველკვირეულად,,weekly,еженедельно
6,3,Attributes,Colors,⚫,შავი,,black,черный
6,3,Attributes,Colors,🔵,ლურჯი,,blue,синий
6,3,Attributes,Colors,🟤,ყავისფერი,,brown,коричневый
6,3,Attributes,Colors,🎨,ფერი,,color,цвет
6,3,Attributes,Colors,🌑,მუქი,,dark,темный
6,3,Attributes,Colors,🥇,ოქროსფერი,,gold,золотой
6,3,Attributes,Colors,🟢,მწვანე,,green,зеленый
6,3,Attributes,Colors,🩶,ნაცრისფერი,,grey,серый
6,3,Attributes,Colors,🌕,ღია,,light (color),светлый
6,3,Attributes,Colors,🩵,ცისფერი,,light blue / sky blue,голубой
6,3,Attributes,Colors,🟠,ნარინჯისფერი,,orange,оранжевый
6,3,Attributes,Colors,🩷,ვარდისფერი,,pink,розовый
6,3,Attributes,Colors,🐴,უბრალო,,plain,простой
6,3,Attributes,Colors,🟣,იასამნისფერი / იისფერი,,purple,фиолетовый
6,3,Attributes,Colors,🔴,წითელი,,red,красный
6,3,Attributes,Colors,🥈,ვერცხლისფერი,,silver,серебристый
6,3,Attributes,Colors,🦓,ზოლიანი,,striped,полосатый
6,3,Attributes,Colors,⚪,თეთრი,,white,белый
6,3,Attributes,Colors,🟡,ყვითელი,,yellow,желтый
6,4,Attributes,Geometry,📦,ყუთი,,box,коробка
6,4,Attributes,Geometry,⭕,წრე,,circle,круг
6,4,Attributes,Geometry,∟,კუთხე,,corner,угол
6,4,Attributes,Geometry,➕,ჯვარი,,cross,крест
6,4,Attributes,Geometry,🛢️,ცილინდრი,,cylinder,цилиндр
6,4,Attributes,Geometry,💠,რომბი,,diamond,ромб
6,4,Attributes,Geometry,📐,მხარე,,edge / side,сторона
6,4,Attributes,Geometry,📏,ბრტყელი,,flat,плоский
6,4,Attributes,Geometry,➖,ხაზი,,line,линия
6,4,Attributes,Geometry,📍,წერტილი,,point,точка
6,4,Attributes,Geometry,🟡,მრგვალი,,round,круглый
6,4,Attributes,Geometry,⚽,სფერო,,sphere,сфера
6,4,Attributes,Geometry,⬛,კვადრატი,,square,квадрат
6,4,Attributes,Geometry,⭐,ვარსკვლავი,,star,звезда
6,4,Attributes,Geometry,🔺,სამკუთხედი,,triangle,треугольник
